O,H,L,C
15887.01,16150.0,15885.19,16140.0
16140.02,16500.0,16140.01,16449.84
16446.01,16977.0,16400.0,16933.49
16933.49,16939.0,16150.0,16748.98
16730.0,16949.98,16628.25,16949.0
16949.0,17650.0,16900.0,17560.0
17560.0,19697.0,17250.0,18200.99
18200.99,18300.0,16505.01,17580.0
17580.0,17599.99,15101.0,16299.99
16260.01,16260.01,15100.0,16100.0
16249.96,16999.96,15555.0,16325.01
16349.99,17294.99,16330.0,16774.97
16766.27,17400.0,16640.0,17259.0
17299.95,17869.99,16660.0,17222.65
17222.65,17410.0,16888.0,16900.0
16944.97,17200.0,16805.0,16900.01
16928.99,16929.0,16022.0,16313.02
16313.02,16400.0,15700.0,15930.0
15930.0,16300.0,15305.0,16040.06
16242.99,16499.0,15850.0,15860.0
15864.92,16200.0,15850.0,15935.01
15935.0,16099.0,15735.01,16069.5
16069.53,16387.97,16010.0,16320.07
16320.08,16474.99,16201.0,16466.32
16466.32,16575.0,16346.69,16544.86
16539.82,16890.0,16495.44,16799.01
16799.01,16880.0,16502.0,16824.99
16824.99,16825.0,16562.4,16749.99
16749.99,16925.0,16749.99,16829.98
16829.97,17240.0,16829.97,17070.0
17070.0,17221.0,17053.0,17200.0
17200.0,17208.0,17013.46,17192.0
17192.99,17192.99,16800.0,17000.04
17000.03,17098.0,16995.0,17089.99
17089.99,17219.99,17038.48,17199.99
17199.99,17432.0,17199.96,17390.01
17390.01,17489.8,17310.1,17488.22
17488.22,17635.0,17450.0,17629.98
17629.98,17629.98,17311.0,17483.09
17483.09,17650.0,17483.08,17613.01
17613.0,17613.01,17401.0,17489.35
17489.35,17649.2,17489.33,17554.0
17554.0,17777.69,17553.99,17678.03
17678.28,17738.51,17606.0,17616.78
17616.78,17616.78,16777.0,17210.75
17210.88,17400.01,17125.59,17340.0
17340.01,17438.43,17154.12,17398.99
17398.99,17481.16,17280.0,17375.91
17375.95,17375.96,16939.57,16949.94
16949.95,17060.0,16280.0,16280.0
16280.01,16743.42,16090.0,16492.38
16492.37,16810.0,16488.14,16799.99
16800.0,17096.0,16625.01,16869.9
16869.89,16891.0,16460.0,16666.0
16660.01,16666.0,16118.25,16330.0
16330.0,16410.0,16099.99,16125.99
16125.99,16347.04,15577.0,15801.03
15800.01,16091.99,15142.42,15299.99
15319.54,15999.0,15153.0,15541.9
15538.76,16325.4,15530.0,16222.0
16222.0,16246.71,15650.0,16082.04
16082.04,16280.0,15850.0,16279.66
16279.65,16500.0,16195.02,16466.76
16466.76,16710.03,16410.01,16641.78
16644.8,16874.99,16500.0,16874.99
16874.99,16945.0,16625.0,16785.0
16785.0,16800.0,16223.24,16312.77
16312.77,16700.0,16202.12,16602.0
16602.0,16710.0,16453.4,16709.99
16710.0,16720.0,16605.01,16619.0
16619.0,16621.0,16403.0,16415.0
16415.0,16529.33,15950.0,16013.46
16013.46,16366.98,15750.0,16012.85
16012.85,16147.0,15555.0,15974.03
15974.03,16007.87,15500.0,15500.0
15500.01,15897.5,15460.0,15897.5
15897.5,16206.99,15752.0,15874.79
15874.8,15934.0,15642.08,15934.0
15934.0,15948.99,15522.01,15554.22
15554.2,15720.0,15444.4,15444.4
15444.4,15499.99,15101.22,15165.24
15165.44,15219.47,14314.93,14399.99
14314.95,15100.0,13788.99,14862.47
14900.0,15700.0,14862.58,15280.04
15280.05,15679.76,15249.05,15481.34
15463.37,15722.0,15042.57,15700.0
15700.0,15745.56,15303.57,15519.65
15510.01,15620.52,15360.0,15370.58
15370.57,15370.57,15079.7,15115.0
15115.02,15349.99,14760.0,15151.01
15189.33,15587.99,15150.0,15352.43
15378.79,15600.0,15251.29,15470.51
15470.5,15597.0,15444.6,15588.87
15596.99,15998.9,15489.13,15984.0
15983.99,16584.71,15980.01,16562.52
16562.51,16711.31,16370.01,16587.77
16587.77,16630.0,16051.78,16060.85
16060.85,16264.12,16006.0,16015.02
16015.02,16166.68,15854.15,16019.12
16019.12,16089.42,15750.0,15900.0
15900.0,16200.0,15899.99,16106.0
16106.0,16200.0,16001.0,16080.19
16080.19,16098.72,15557.0,15629.99
15630.0,15896.99,15300.0,15877.93
15834.41,15839.99,15421.99,15695.51
15695.52,15799.99,15575.12,15756.72
15756.72,15764.46,15583.64,15693.25
15693.25,15699.99,15200.0,15375.1
15399.85,15540.0,15250.0,15281.99
15281.99,15434.0,15281.99,15340.0
15340.0,15489.92,15311.54,15479.77
15471.98,15690.0,15458.0,15690.0
15690.0,15958.19,15600.0,15882.11
15881.89,15881.89,15560.08,15741.96
15744.23,15795.86,15600.0,15622.33
15619.68,15675.0,15511.0,15660.62
15672.08,15790.0,15612.43,15634.09
15634.09,15634.09,15551.52,15623.24
15623.25,15729.0,15600.0,15600.0
15617.78,15675.0,15525.0,15659.97
15659.98,15841.0,15644.0,15748.11
15746.62,16098.21,15730.0,16090.99
16090.99,16098.0,15895.18,16098.0
16098.0,16379.99,16056.74,16263.52
16271.9,16469.0,16200.0,16344.99
16344.99,16405.0,16238.54,16289.67
